generation,mean_fitness,best_fitness
510,-150121.984375,-15289.212891
511,-150024.093750,-15141.291992
512,-149950.406250,-15112.717773
513,-149820.765625,-15205.264648
514,-149751.546875,-15180.543945
515,-149770.937500,-15251.561523
516,-149657.625000,-15312.516602
517,-149652.281250,-15328.640625
518,-149709.015625,-15165.028320
519,-149694.328125,-15437.207031
520,-149635.546875,-15413.321289
521,-149475.484375,-15376.581055
522,-149533.906250,-15518.250000
523,-149550.093750,-15655.075195
524,-149577.015625,-15550.127930
525,-149548.343750,-15528.955078
526,-149593.015625,-15585.881836
527,-149641.953125,-15786.503906
528,-149485.031250,-15781.527344
529,-149354.156250,-15795.416016
530,-149430.218750,-15392.610352
531,-149505.234375,-15791.970703
532,-149388.796875,-15749.812500
533,-149422.312500,-15708.439453
534,-149506.093750,-15581.096680
535,-149585.500000,-15681.794922
536,-149440.500000,-15673.542969
537,-149423.531250,-15508.796875
538,-149385.531250,-15481.206055
539,-149395.156250,-15450.244141
540,-149389.968750,-15452.100586
541,-149364.546875,-15490.152344
542,-149291.546875,-15464.501953
543,-149319.546875,-15440.481445
544,-149327.593750,-15436.753906
545,-149316.500000,-15500.965820
546,-149359.468750,-15569.625977
547,-149446.812500,-15609.593750
548,-149525.468750,-16115.622070
549,-149534.000000,-16068.947266
550,-149577.781250,-16090.849609
551,-149620.234375,-15868.375000
552,-149495.625000,-15834.646484
553,-149448.531250,-15843.768555
554,-149429.312500,-15717.554688
555,-149520.796875,-16075.532227
556,-149475.343750,-16079.622070
557,-149515.375000,-16125.849609
558,-149573.156250,-15966.311523
559,-149472.125000,-15912.195312
560,-149323.968750,-15847.761719
561,-149342.953125,-15840.724609
562,-149366.656250,-15614.228516
563,-149310.406250,-16300.321289
564,-149378.593750,-16241.526367
565,-149368.234375,-16273.699219
566,-149451.093750,-16288.851562
567,-149602.671875,-16270.481445
568,-149695.562500,-16231.740234
569,-149800.921875,-16265.568359
570,-149802.937500,-16305.606445
571,-149782.093750,-16603.986328
572,-149757.015625,-16717.423828
573,-149612.953125,-16706.062500
574,-149555.109375,-16695.851562
575,-149570.953125,-16756.072266
576,-149652.000000,-16523.566406
577,-149695.156250,-16529.755859
578,-149841.296875,-16492.990234
579,-150020.906250,-16493.824219
580,-149868.984375,-16475.628906
581,-149803.750000,-16671.228516
582,-149833.812500,-16658.320312
583,-149880.796875,-16391.355469
584,-149901.906250,-16368.736328
585,-149967.093750,-16365.870117
586,-149988.968750,-16409.007812
587,-150136.781250,-16425.603516
588,-150066.109375,-16402.382812
589,-149996.437500,-16323.612305
590,-149945.265625,-16451.236328
591,-150013.984375,-16423.691406
592,-150029.218750,-16532.445312
593,-150055.046875,-16527.962891
594,-149990.671875,-16521.839844
595,-150115.671875,-16555.880859
596,-150181.437500,-16605.222656
597,-150198.468750,-16426.578125
598,-150209.531250,-16725.996094
599,-150189.093750,-16605.921875
600,-150115.953125,-16661.539062
601,-150200.093750,-16601.841797
602,-150114.843750,-16568.083984
603,-150113.703125,-16605.224609
604,-150122.750000,-16599.029297
605,-150130.531250,-16590.460938
606,-150201.906250,-16575.205078
607,-150212.890625,-16544.675781
608,-150266.671875,-16612.466797
609,-150304.843750,-16603.773438
610,-150234.656250,-16534.140625
611,-150329.953125,-16548.210938
612,-150285.765625,-16579.562500
613,-150238.515625,-16542.117188
614,-150360.796875,-16555.710938
615,-150354.734375,-16488.689453
616,-150371.312500,-16391.960938
617,-150452.218750,-16335.947266
618,-150502.843750,-16313.015625
619,-150544.390625,-16318.728516
620,-150591.000000,-16529.863281
621,-150516.359375,-16516.421875
622,-150610.953125,-16346.594727
623,-150469.484375,-16399.269531
624,-150492.531250,-16381.920898
625,-150626.390625,-16535.361328
626,-150693.000000,-16830.501953
627,-150663.828125,-16865.603516
628,-150693.765625,-16845.818359
629,-150700.796875,-16868.265625
630,-150627.078125,-16763.527344
631,-150788.125000,-16685.779297
632,-150745.937500,-16866.894531
633,-150725.015625,-17351.494141
634,-150758.578125,-17384.529297
635,-150931.437500,-17453.650391
636,-150956.406250,-17451.308594
637,-151051.812500,-17378.642578
638,-151067.156250,-17521.724609
639,-151199.718750,-17530.826172
640,-151274.015625,-17562.310547
