generation,mean_fitness,best_fitness
806,-62200.351562,-62199.042969
807,-62199.800781,-62198.746094
808,-62327.285156,-62198.941406
809,-62199.906250,-62198.644531
810,-62232.074219,-62198.777344
811,-62340.875000,-62198.359375
812,-62327.699219,-62198.546875
813,-62201.351562,-62199.019531
814,-62295.058594,-62198.355469
815,-62199.941406,-62198.769531
816,-62343.253906,-62198.968750
817,-62199.781250,-62198.421875
818,-62278.511719,-62198.988281
819,-62199.839844,-62197.726562
820,-62199.984375,-62198.617188
821,-62199.949219,-62198.886719
822,-62262.660156,-62198.425781
823,-62390.824219,-62197.835938
824,-62277.660156,-62198.765625
825,-62199.933594,-62198.738281
826,-62199.800781,-62198.574219
827,-62297.750000,-62198.890625
828,-62324.128906,-62198.386719
829,-62295.363281,-62198.433594
830,-62390.308594,-62198.625000
831,-62390.339844,-62198.878906
832,-62199.925781,-62198.761719
833,-62199.949219,-62198.750000
834,-62245.828125,-62198.835938
835,-62294.996094,-62198.457031
836,-62199.746094,-62198.871094
837,-62245.515625,-62198.140625
838,-62393.109375,-62198.390625
839,-62424.589844,-62198.625000
840,-62295.515625,-62198.171875
841,-62262.593750,-62198.445312
842,-62245.945312,-62198.871094
843,-62327.671875,-62198.347656
844,-62468.214844,-62198.816406
845,-62277.175781,-62198.507812
846,-62230.984375,-62198.585938
847,-62483.828125,-62198.941406
848,-62200.605469,-62198.804688
849,-62199.851562,-62197.949219
850,-62200.519531,-62198.781250
851,-62200.164062,-62198.152344
852,-62199.734375,-62198.332031
853,-62340.894531,-62198.570312
854,-62233.238281,-62198.265625
855,-62199.820312,-62198.402344
856,-62295.675781,-62198.988281
857,-62393.156250,-62198.613281
858,-62199.738281,-62198.027344
859,-62232.773438,-62198.832031
860,-62199.894531,-62198.910156
861,-62295.066406,-62198.761719
862,-62200.074219,-62198.585938
863,-62245.843750,-62198.546875
864,-62327.015625,-62198.777344
865,-62199.753906,-62198.460938
866,-62361.800781,-62198.824219
867,-62245.484375,-62198.566406
868,-62199.796875,-62198.972656
869,-62424.976562,-62198.812500
